4321030,4,1,5,"Days to 1st ripe fruit",,,,J1,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene358_0-i2;http://solgenomics.net/genome/Solanum_pennellii/variation/cLES-5-J1,,,10.1534/g3.114.014654
4321030,4,2,5,"Days to 50% ripe fruit",fruit,http://purl.obolibrary.org/obo/PO_0009001;http://purl.obolibrary.org/obo/SP_0000037,,TG194,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene72_0-i22;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene73_0-i22,,,10.1534/g3.114.014654
4321030,4,7,5,Yield,yield,http://purl.obolibrary.org/obo/SP_0000198,,At4g10050,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene150_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g10050,,,10.1534/g3.114.014654
4321030,4,8,5,"Fruit height","fruit;plant height",http://purl.obolibrary.org/obo/PO_0009001;http://purl.obolibrary.org/obo/TO_0000207;http://purl.obolibrary.org/obo/SP_0000402;http://purl.obolibrary.org/obo/SP_0000037,,TG194,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene72_0-i22;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene73_0-i22,,,10.1534/g3.114.014654
4321030,4,13,5,"Fruit width","fruit width",http://purl.obolibrary.org/obo/TO_0002627;http://purl.obolibrary.org/obo/SP_0000088,,TG194,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene72_0-i22;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene73_0-i22,,,10.1534/g3.114.014654
4321030,4,14,5,"Fruit shape","fruit shape",http://purl.obolibrary.org/obo/TO_0002628;http://purl.obolibrary.org/obo/SP_0000038,,At5g04590,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene210_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At5g04590,,,10.1534/g3.114.014654
4321030,4,16,5,"Fruit size","fruit size",http://purl.obolibrary.org/obo/TO_0002625;http://purl.obolibrary.org/obo/SP_0000010,,T0408,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene78_0-i22;http://solgenomics.net/genome/Solanum_pennellii/variation/T0408,,,10.1534/g3.114.014654
4321030,4,20,5,"Fruit weight","fruit weight",http://purl.obolibrary.org/obo/TO_0002746,,At5g04590,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene210_0-i23;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At5g04590,,,10.1534/g3.114.014654
4321030,4,21,5,"Seed weight","seed weight",http://purl.obolibrary.org/obo/TO_0000181;http://purl.obolibrary.org/obo/SP_0000104,,T0408,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene78_0-i22;http://solgenomics.net/genome/Solanum_pennellii/variation/T0408,,,10.1534/g3.114.014654
4321030,4,24,5,oBrix,,,,T0408,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene78_0-i22;http://solgenomics.net/genome/Solanum_pennellii/variation/T0408,,,10.1534/g3.114.014654
4321030,4,26,5,pH,pH,http://purl.obolibrary.org/obo/SP_0000170,,At5g16710,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene95_0-i22;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At5g16710,,,10.1534/g3.114.014654
4321030,4,28,5,"Canopy density","plant canopy",http://purl.obolibrary.org/obo/SP_0000236,,J1,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene358_0-i2;http://solgenomics.net/genome/Solanum_pennellii/variation/cLES-5-J1,,,10.1534/g3.114.014654
4321030,4,34,5,"Plant habit","plant habit",http://purl.obolibrary.org/obo/SP_0000003,,J1,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene358_0-i2;http://solgenomics.net/genome/Solanum_pennellii/variation/cLES-5-J1,,,10.1534/g3.114.014654
4321030,4,36,5,"Plant height","plant height",http://purl.obolibrary.org/obo/TO_0000207;http://purl.obolibrary.org/obo/SP_0000402,,TG194,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene72_0-i22;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene73_0-i22,,,10.1534/g3.114.014654
4321030,4,41,5,"Plant width","plant width",http://purl.obolibrary.org/obo/TO_0006062,,At4g22260,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene100_0-i22;http://solgenomics.net/genome/Solanum_pennellii/variation/C2_At4g22260,,,10.1534/g3.114.014654
4321030,4,43,5,"Plant shape",,,,T0408,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene78_0-i22;http://solgenomics.net/genome/Solanum_pennellii/variation/T0408,,,10.1534/g3.114.014654
4321030,4,49,5,"Plant size","plant size",http://purl.obolibrary.org/obo/SP_0000002,,TG194,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene72_0-i22;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene73_0-i22,,,10.1534/g3.114.014654
4321030,4,1,6,"Days to 1st ripe fruit",,,,TG194-TG523,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene72_0-i22;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene73_0-i22;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene88_0-i22;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene89_0-i22;http://solgenomics.net/genome/Solanum_pennellii/variation/TG523-F;http://solgenomics.net/genome/Solanum_pennellii/variation/TG523-R,,,10.1534/g3.114.014654
4321030,4,2,6,"Days to 50% ripe fruit",fruit,http://purl.obolibrary.org/obo/PO_0009001;http://purl.obolibrary.org/obo/SP_0000037,,TG194-T0408,http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene72_0-i22;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene73_0-i22;http://solgenomics.net/genome/Solanum_lycopersicum/variation/gene78_0-i22;http://solgenomics.net/genome/Solanum_pennellii/variation/T0408,,,10.1534/g3.114.014654
